episode_id,folder,path,n_frames,n_engaged,engaged_frac,duration_s,success,seed,mode,color_bin_mapping,has_intent,gaze_valid_frac,gaze_valid_engaged,has_state,cameras,has_images,n_objects,n_bins,rate_hz,image_scale,schema_version,error
073,073,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\073\episode.hdf5,1867,1764,0.945,62.2,success,719128672,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.989,0.988,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
074,074,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\074\episode.hdf5,1783,1698,0.952,59.4,success,1400885465,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.992,0.991,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
075,075,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\075\episode.hdf5,2161,2060,0.953,72.0,success,1989376516,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.967,0.967,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
076,076,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\076\episode.hdf5,1698,1639,0.965,56.567,success,1465290685,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.99,0.99,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
077,077,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\077\episode.hdf5,2574,2463,0.957,85.767,success,1851960881,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.985,0.985,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
078,078,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\078\episode.hdf5,2059,1978,0.961,68.6,success,1293456790,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.964,0.962,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
079,079,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\079\episode.hdf5,1862,1775,0.953,62.033,success,181670540,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.965,0.964,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
080,080,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\080\episode.hdf5,1769,1698,0.96,58.933,success,697411831,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.971,0.97,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
081,081,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\081\episode.hdf5,2418,1777,0.735,80.567,success,1416457074,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.985,0.979,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
082,082,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\082\episode.hdf5,1641,1557,0.949,54.667,success,830021075,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.988,0.987,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
083,083,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\083\episode.hdf5,1655,1584,0.957,55.133,success,1253524356,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.984,0.984,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
084,084,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\084\episode.hdf5,1959,1851,0.945,65.267,success,2038042022,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.99,0.989,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
